customer_id,customer_first_name,customer_last_name,postcode,country_code
97-003-2495,Adiana,Shirtliff,993-1092,BY
82-278-5664,Maddalena,Wolfinger,993-0269,ZM
89-896-4591,Mart,Malsher,993-0855,RU
91-647-4130,Nita,Vannacci,993-1062,IR
79-082-9805,Locke,Janaway,993-0503,ID
64-494-1301,Debbi,Gaule,993-0710,FR
89-961-8506,Enriqueta,Kirwin,993-0888,FI
24-545-1124,Kaylyn,Colebourne,993-0856,CN
75-652-8475,Elsworth,Stannas,993-1093,CN
60-742-1416,Giusto,Sheavills,993-0270,UA
07-369-4272,Xymenes,Hands,993-1063,PT
26-237-6257,Jillayne,Gaiford,993-0504,KZ
15-541-9267,Mathew,Groucutt,993-0711,NG
77-064-4656,Tiertza,Doogan,993-0857,RU
93-710-1150,Asia,McNess,993-1094,PT
54-926-6336,Deina,Agus,993-0271,CO
96-883-5571,Gwenora,Beauchamp,993-0505,ZM
60-341-1613,George,Woodeson,993-1064,ES
92-904-9582,Elisabetta,Dubery,993-1183,MZ
43-831-6225,Henryetta,Kunes,993-1240,NL
59-450-2625,Jerrie,Jiran,993-0858,BR
43-225-1028,Stormi,Duddin,993-0712,ZA
24-902-5422,Delilah,Ayerst,993-1095,ID
41-635-6237,Berkley,Petrashov,993-0272,AR
08-581-0238,Rosanne,Zorzutti,993-0506,NG
97-710-2761,Adlai,Arnull,994-4218,SA
84-559-2630,Alberik,Rowcastle,993-1065,KE
51-824-3545,Kele,Bracknell,993-0859,ID
28-808-0517,Nels,Ordish,993-0713,BF
67-841-9713,Del,Hughman,993-0536,CN
73-849-7161,Malchy,Huddlestone,993-1096,CZ
89-643-5055,Adah,Adamczewski,993-0273,CN
30-882-6768,Melisent,Claessens,993-0507,VN
82-932-8304,Curry,Able,993-1066,ID
80-373-3482,Son,Hurworth,993-0860,BR
57-611-6010,Tabbie,Conboy,993-0395,AR
27-255-5518,Lenore,Tabb,993-0508,CN
09-129-7277,Rana,Rait,993-1097,BR
07-457-0443,Den,Coppock.,993-0274,CA
25-056-4351,Leonie,Battin,993-0714,RU
55-534-3489,Cathleen,Gooday,993-0861,PT
68-296-9308,Darla,Kubacek,993-0889,ID
86-592-7704,Leslie,Noden,993-1067,HN
71-234-5179,Steward,Lavies,993-0509,ID
65-465-1137,Wyn,Attwoull,993-1098,PK
21-903-1493,Ingamar,Forker,993-0275,LU
24-648-1490,Itch,Merle,993-0715,LK
81-515-1278,Anastasie,Jahnisch,993-0862,TN
91-488-9581,Henrie,Ledward,993-1068,AR
21-950-4765,Gale,Reeves,993-0510,NP
16-968-9858,Christen,Jedrachowicz,993-1099,ZA
85-368-5194,Windham,Meekin,993-0276,ID
16-138-8056,Jesse,Martelet,993-1184,RU
37-402-2949,Erika,Greensmith,993-0863,CD
81-015-5506,Valerye,Phorsby,993-0716,ID
10-921-5699,Viviyan,Lantiff,993-0511,PH
76-847-6826,Gothart,Domesday,993-1069,GE
59-575-5435,Paloma,Spellar,994-1182,CO
00-988-1489,Alard,Briat,993-0329,RU
03-051-7819,Nessie,Wheal,993-1100,CN
02-974-0997,Aubine,Chardin,993-0277,PH
37-372-9415,Gerta,Hehir,993-0864,MU
07-187-1437,Julie,Brandes,993-0717,LT
77-591-2181,Esra,Mc,993-0512,CN
27-913-7247,Cornela,LaBastida,993-0537,CN
33-882-5916,Boot,Terbeck,993-1070,PL
59-715-3288,Dene,Dawby,993-1101,LC
70-480-2781,Sheffield,Turbitt,993-0278,JP
99-109-2353,Web,O'Howbane,993-0865,PT
49-464-9139,Ynez,Hows,993-0718,BR
52-934-7220,Merwin,Pikhno,993-0513,US
00-435-7006,Silas,Asson,993-0866,UA
86-404-0358,Elvina,McGlynn,993-1071,CN
96-259-0479,Charita,Bosworth,993-1102,PL
00-689-5519,Jill,O'Sirin,993-0279,JP
90-508-0061,Zebedee,Spafford,993-0514,ID
48-898-3804,Ximenez,Meredith,993-0890,ML
57-843-3690,Paddie,Tellenbrok,993-0719,RU
